362	000111010101011
363	001000001111111
364	001000010111111
365	001000011011111
366	001000011101111
367	001000011110111
368	001000011111011
369	001000100111111
370	001000101011111
371	001000101101111
372	001000101110111
373	001000101111011
374	001000110011111
375	001000110101111
376	001000110110111
377	001000110111011
378	001000111001111
379	001000111010111
380	001000111011011
381	001000111100111
382	001000111101011
383	001001000111111
384	001001001011111
385	001001001101111
386	001001001110111
387	001001001111011
388	001001010011111
389	001001010101111
390	001001010110111
391	001001010111011
392	001001011001111
393	001001011010111
394	001001011011011
395	001001011100111
396	001001011101011
397	001001100011111
398	001001100101111
399	001001100110111
400	001001100111011
401	001001101001111
402	001001101010111
403	001001101011011
404	001001101100111
405	001001101101011
406	001001110001111
407	001001110010111
408	001001110011011
409	001001110100111
410	001001110101011
411	001010000111111
412	001010001011111
413	001010001101111
414	001010001110111
415	001010001111011
416	001010010011111
417	001010010101111
418	001010010110111
419	001010010111011
420	001010011001111
421	001010011010111
422	001010011011011
423	001010011100111
424	001010011101011
425	001010100011111
426	001010100101111
427	001010100110111
428	001010100111011
429	001010101001111
430	001010101010111
431	001010101011011
432	001010101100111
433	001010101101011
434	001010110001111
435	001010110010111
436	001010110011011
437	001010110100111
438	001010110101011
439	001011000011111
440	001011000101111
441	001011000110111
442	001011000111011
443	001011001001111
444	001011001010111
445	001011001011011
446	001011001100111
447	001011001101011
448	001011010001111
449	001011010010111
450	001011010011011
451	001011010100111
452	001011010101011
453	001100000111111
454	001100001011111
455	001100001101111
456	001100001110111
457	001100001111011
458	001100010011111
459	001100010101111
460	001100010110111
461	001100010111011
462	001100011001111
463	001100011010111
464	001100011011011
465	001100011100111
466	001100011101011
467	001100100011111
468	001100100101111
469	001100100110111
470	001100100111011
471	001100101001111
472	001100101010111
473	001100101011011
474	001100101100111
475	001100101101011
476	001100110001111
477	001100110010111
478	001100110011011
479	001100110100111
480	001100110101011
481	001101000011111
482	001101000101111
483	001101000110111
484	001101000111011
485	001101001001111
486	001101001010111
487	001101001011011
488	001101001100111
489	001101001101011
490	001101010001111
491	001101010010111
492	001101010011011
493	001101010100111
494	001101010101011
495	010000001111111
496	010000010111111
497	010000011011111
498	010000011101111
499	010000011110111
500	010000011111011
501	010000100111111
502	010000101011111
503	010000101101111
504	010000101110111
505	010000101111011
506	010000110011111
507	010000110101111
508	010000110110111
509	010000110111011
510	010000111001111
511	010000111010111
512	010000111011011
513	010000111100111
514	010000111101011
515	010001000111111
516	010001001011111
517	010001001101111
